Source MAC,Destination MAC,Protocol,Service,Source Address,Destination Address,Sequence Number,Acknowledgement Number,SYN Bit,ACK Bit,FIN Bit,Src Bytes,Duration
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6429297924041748
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.643108606338501
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6433219909667969
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6434857845306396
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6438059806823729
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6442179679870605
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6444787979125977
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6447100639343262
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6448941230773926
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6451117992401123
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6452813148498535
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6454250812530518
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6456844806671143
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6459090709686279
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6460509300231934
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6462380886077881
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6463687419891357
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6465022563934326
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6466577053070068
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6468057632446289
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6470141410827637
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6474065780639648
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6478869915008545
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6483287811279297
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6488242149353027
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6493754386901855
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6500327587127686
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6506166458129883
